DATE,CLOSE
19850131,50.0
19850228,58.0
19850401,54.0
19850430,49.0
19850531,51.0
19850701,54.0
19850731,58.0
19850902,58.0
19850930,56.0
19851031,59.0
19851202,58.0
19851231,57.0
19860131,57.0
19860228,55.0
19860331,57.0
19860430,62.0
19860602,64.0
19860630,65.0
19860731,59.0
19860901,55.0
19860930,57.0
19861031,64.0
19861201,59.0
19861231,64.0
19870202,63.0
19870302,60.0
19870331,60.0
19870430,59.0
19870601,55.0
19870630,56.0
19870731,55.0
19870831,54.0
19870930,52.0
19871102,50.0
19871130,56.0
19871231,51.0
19880201,53.0
19880229,51.0
19880331,51.0
19880502,52.0
19880531,54.0
19880630,49.0
19880801,54.0
19880831,56.0
19880930,53.0
19881031,49.0
19881130,58.0
19890102,60.0
19890131,54.0
19890228,53.0
19890331,48.0
19890501,44.0
19890531,44.0
19890630,45.0
19890731,46.0
19890831,50.0
19891002,51.0
19891031,48.0
19891130,46.0
19900101,43.0
19900131,42.0
19900228,44.0
19900402,40.0
19900430,39.0
19900531,36.0
19900702,36.0
19900731,32.0
19900831,30.0
19901001,31.0
19901031,28.0
19901130,25.0
19901231,22.0
19910131,20.0
19910228,27.0
19910401,36.0
19910430,41.0
19910531,40.0
19910701,42.0
19910731,41.0
19910902,36.0
19910930,37.0
19911031,37.0
19911202,37.0
19911231,35.0
19920131,44.0
19920302,49.0
19920331,46.0
19920430,46.0
19920601,47.0
19920630,45.0
19920731,46.0
19920831,49.0
19920930,48.0
19921102,50.0
19921130,54.0
19921231,56.0
19930201,55.0
19930301,52.0
19930331,53.0
19930430,52.0
19930531,51.0
19930630,53.0
19930802,57.0
19930831,60.0
19930930,62.0
19931101,66.0
19931130,71.0
19931231,71.0
19940131,70.0
19940228,64.0
19940331,61.0
19940502,61.0
19940531,59.0
19940630,57.0
19940801,53.0
19940831,53.0
19940930,50.0
19941031,49.0
19941130,50.0
19950102,43.0
19950131,40.0
19950228,42.0
19950331,40.0
19950501,42.0
19950531,43.0
19950630,45.0
19950731,49.0
19950831,50.0
19951002,51.0
19951031,55.0
19951130,52.0
19960101,53.0
19960131,54.0
19960229,49.0
19960401,59.0
19960430,60.0
19960531,61.0
19960701,59.0
19960731,58.0
19960902,56.0
19960930,55.0
19961031,56.0
19961202,54.0
19961231,55.0
19970131,54.0
19970228,52.0
19970331,57.0
19970430,56.0
19970602,55.0
19970630,56.0
19970731,55.0
19970901,58.0
19970930,59.0
19971031,59.0
19971201,58.0
19971231,60.0
19980202,60.0
19980302,65.0
19980331,66.0
19980430,67.0
19980601,67.0
19980630,70.0
19980731,71.0
19980831,72.0
19980930,71.0
19981102,73.0
19981130,77.0
19981231,78.0
19990201,75.0
19990301,71.0
19990331,71.0
19990430,71.0
19990531,75.0
19990630,77.0
19990802,75.0
19990831,72.0
19990930,72.0
19991101,69.0
19991130,70.0
19991231,70.0
20000131,69.0
20000229,68.0
20000331,64.0
20000501,63.0
20000531,63.0
20000630,58.0
20000731,59.0
20000831,60.0
20001002,60.0
20001031,62.0
20001130,63.0
20010101,57.0
20010131,52.0
20010228,58.0
20010402,60.0
20010430,59.0
20010531,58.0
20010702,59.0
20010731,57.0
20010831,59.0
20011001,55.0
20011031,46.0
20011130,48.0
20011231,55.0
20020131,58.0
20020228,58.0
20020401,62.0
20020430,61.0
20020531,61.0
20020701,61.0
20020731,61.0
20020902,55.0
20020930,63.0
20021031,61.0
20021202,62.0
20021231,63.0
20030131,62.0
20030228,63.0
20030331,56.0
20030430,55.0
20030602,59.0
20030630,63.0
20030731,65.0
20030901,67.0
20030930,67.0
20031031,69.0
20031201,68.0
20031231,69.0
20040202,68.0
20040301,66.0
20040331,66.0
20040430,69.0
20040531,69.0
20040630,68.0
20040802,67.0
20040831,70.0
20040930,67.0
20041101,69.0
20041130,70.0
20041231,71.0
20050131,70.0
20050228,69.0
20050331,70.0
20050502,67.0
20050531,70.0
20050630,72.0
20050801,70.0
20050831,67.0
20050930,65.0
20051031,68.0
20051130,61.0
20060102,57.0
20060131,57.0
20060228,56.0
20060331,54.0
20060501,51.0
20060531,46.0
20060630,42.0
20060731,39.0
20060831,33.0
20061002,30.0
20061031,31.0
20061130,33.0
20070101,33.0
20070131,35.0
20070228,39.0
20070402,36.0
20070430,33.0
20070531,30.0
20070702,28.0
20070731,24.0
20070831,22.0
20071001,20.0
20071031,19.0
20071130,19.0
20071231,18.0
20080131,19.0
20080229,20.0
20080331,20.0
20080430,20.0
20080602,19.0
20080630,18.0
20080731,16.0
20080901,16.0
20080930,17.0
20081031,14.0
20081201,9.0
20081231,9.0
20090202,8.0
20090302,9.0
20090331,9.0
20090430,14.0
20090601,16.0
20090630,15.0
20090731,17.0
20090831,18.0
20090930,19.0
20091102,17.0
20091130,17.0
20091231,16.0
20100201,15.0
20100301,17.0
20100331,15.0
20100430,19.0
20100531,22.0
20100630,16.0
20100802,14.0
20100831,13.0
20100930,13.0
20101101,15.0
20101130,16.0
20101231,16.0
20110131,16.0
20110228,16.0
20110331,17.0
20110502,16.0
20110531,16.0
20110630,13.0
20110801,15.0
20110831,15.0
20110930,14.0
20111031,17.0
20111130,19.0
20120102,21.0
20120131,25.0
20120229,28.0
20120402,28.0
20120430,24.0
20120531,28.0
20120702,29.0
20120731,35.0
20120831,37.0
20121001,40.0
20121031,41.0
20121130,45.0
